	d33009	d33018	d33031	d33039	d33120	d33209	d33211	d33369	d33413	d33430	d33451	d33455	d33512	others33013
100131801_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100131827_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100131897_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100131980_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100132074_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100132146_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100132202_at	3	2	3	3	2	2	3	2	2	2	3	2	2	2
100132247_at	1	1	2	1	1	1	1	1	1	1	1	1	1	1
100132386_at	4	4	4	4	4	4	5	4	4	4	4	5	3	3
100132406_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100132463_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100132476_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100132565_at	4	4	4	4	4	3	4	4	3	4	4	4	3	4
100132813_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100132911_at	1	1	1	1	1	1	1	1	1	1	2	2	1	3
100132916_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100133204_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100133220_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100133251_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100133267_at	1	1	1	1	1	1	1	1	1	1	1	1	1	3
100133301_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100133941_at	5	5	6	5	5	4	5	5	5	4	6	5	4	3
100134391_at	6	7	7	7	7	5	7	6	7	6	7	7	5	5
100134444_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100137049_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10014_at	3	3	3	2	3	2	3	3	3	3	3	3	2	5
100141515_at	2	4	2	2	2	1	3	3	2	2	3	2	2	2
100142659_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100144595_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100144748_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10015_at	4	4	4	3	4	4	5	4	4	4	4	4	3	3
100151643_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10016_at	6	6	6	6	6	6	7	6	6	6	7	7	5	5
100169851_at	2	1	2	1	1	2	2	3	3	1	2	2	2	2
10017_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100170229_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100170765_at	2	2	1	1	1	1	2	2	1	2	3	2	2	3
100170841_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10018_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100188893_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10019_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100190949_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100191040_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1002_at	1	1	1	1	1	1	1	2	1	1	2	2	1	3
10020_at	5	5	5	4	5	4	5	5	5	5	5	5	4	6
10021_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10022_at	5	5	6	4	4	4	5	5	4	3	5	4	4	4
10023_at	1	1	1	1	1	1	1	2	1	1	1	1	1	1
10024_at	2	2	2	1	2	1	2	2	2	1	2	2	1	2
10025_at	6	5	6	5	5	5	5	5	5	5	6	5	4	6
10026_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100271715_at	5	5	5	4	5	5	5	5	5	5	5	5	4	4
100271846_at	4	2	3	3	4	3	3	4	4	3	4	4	3	4
100271849_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100271927_at	1	1	1	1	1	1	1	1	2	1	1	2	1	4
100286986_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100287036_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100287045_at	1	1	1	1	1	1	1	1	1	1	1	1	1	2
100287144_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100287171_at	4	3	4	3	4	3	4	4	3	3	3	4	3	3
100287178_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100287205_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100287226_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100287284_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100287290_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100287364_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100287387_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100287399_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100287482_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100287718_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
