	conf.int.low	foldChange.MLE	conf.int.up	conservative.foldChange	Signed.P.Zscore	Signed.Q.Value
PHF19	-4.35288332210588	-1.25082854083502	1.60106053226883	0	-0.895010863456346	-2.96502936349372e-05
COX7A2	-2.20145823186964	-0.700463982867611	0.750497124501012	0	-0.895486069918833	-2.96502936349372e-05
FAM104B	-3.10205478127086	-0.900596549401214	1.05069597430142	0	-0.895652182668928	-2.96502936349372e-05
ATP5MPL	-2.15142509023624	-0.65043084123421	0.750497124501012	0	-0.897180757040544	-2.96502936349372e-05
ARMC1	-3.05202163963746	-0.850563407767817	1.00066283266802	0	-0.898116053248805	-2.96502936349372e-05
C2orf49	-3.90258504740528	-1.15076225756822	1.35089482410183	0	-0.898416286796828	-2.96502936349372e-05
LRATD1	-4.35288332210588	-1.70112681553563	1.75115995716903	0	-0.898942063461122	-2.96502936349372e-05
KLF6	-2.70178964820365	-0.850563407767817	0.950629691034615	0	-0.899094819509072	-2.96502936349372e-05
MMP15	-4.35288332210588	-1.95129252370263	1.80119309880243	0	-0.899096585136228	-2.96502936349372e-05
NHEJ1	-4.15275075557229	-1.30086168246842	1.65109367390223	0	-0.900549105915856	-2.96502936349372e-05
GCA	-4.30285018047248	-1.10072911593482	1.35089482410183	0	-0.900569352270964	-2.96502936349372e-05
PINX1	-3.10205478127086	-0.950629691034615	1.10072911593482	0	-0.900849995017633	-2.96502936349372e-05
RPL4	-2.35155765676984	-0.850563407767817	0.900596549401214	0	-0.903211140157952	-2.96502936349372e-05
POLL	-4.75314845517308	-1.40092796573523	2.05135880696944	0	-0.906509282642877	-2.96502936349372e-05
STX7	-2.90192221473725	-0.900596549401214	0.950629691034615	0	-0.906742261302783	-2.96502936349372e-05
PAQR9	-4.40291646373929	-1.80119309880243	1.75115995716903	0	-0.906873391250348	-2.96502936349372e-05
SOD2	-2.25149137350304	-0.700463982867611	0.750497124501012	0	-0.907184846748839	-2.96502936349372e-05
FLT3LG	-4.30285018047248	-1.25082854083502	1.45096110736863	0	-0.907773430807985	-2.96502936349372e-05
ZBTB8A	-4.40291646373929	-1.25082854083502	1.45096110736863	0	-0.909120967014839	-2.96502936349372e-05
KCTD7	-4.9032478800733	-1.70112681553563	2.00132566533604	0	-0.909433156355478	-2.96502936349372e-05
SLC7A6	-2.85188907310385	-0.850563407767817	0.950629691034615	0	-0.909822700415783	-2.96502936349372e-05
EXOC3L1	-4.65308217190629	-1.75115995716903	2.00132566533604	0	-0.910768935873587	-2.96502936349372e-05
ANKRD52	-4.40291646373929	-1.30086168246842	1.50099424900203	0	-0.911100737213477	-2.96502936349372e-05
ETAA1	-3.90258504740528	-1.10072911593482	1.35089482410183	0	-0.912184041828899	-2.96502936349372e-05
ORMDL1	-2.75182278983705	-0.850563407767817	0.950629691034615	0	-0.912221816362769	-2.96502936349372e-05
